Longitude	 Latitude
4.763595	 45.810197
4.763595	 45.810197
4.763595	 45.810197
4.763595	 45.810197
4.763596	 45.810196
4.763611	 45.810185
4.763625	 45.810174
4.763639	 45.810163
4.763652	 45.810153
4.763652	 45.810153
4.763652	 45.810153
4.763652	 45.810153
4.763653	 45.810152
4.763665	 45.810141
4.763677	 45.810130
4.763689	 45.810118
4.763700	 45.810108
4.763700	 45.810108
4.763700	 45.810108
4.763700	 45.810108
4.763701	 45.810107
4.763711	 45.810091
4.763721	 45.810075
4.763731	 45.810060
4.763740	 45.810045
4.763740	 45.810045
4.763740	 45.810045
4.763740	 45.810045
4.763741	 45.810043
4.763750	 45.810021
4.763759	 45.809998
4.763769	 45.809975
4.763777	 45.809955
4.763777	 45.809955
4.763777	 45.809955
4.763777	 45.809955
4.763778	 45.809952
4.763787	 45.809925
4.763795	 45.809898
4.763804	 45.809871
4.763812	 45.809847
4.763812	 45.809847
4.763812	 45.809847
4.763812	 45.809847
4.763813	 45.809844
4.763818	 45.809816
4.763824	 45.809787
4.763830	 45.809759
4.763835	 45.809733
4.763835	 45.809733
4.763835	 45.809733
4.763835	 45.809733
4.763835	 45.809731
4.763840	 45.809707
4.763844	 45.809683
4.763848	 45.809659
4.763852	 45.809637
4.763852	 45.809637
4.763852	 45.809637
4.763852	 45.809637
4.763852	 45.809636
4.763857	 45.809621
4.763861	 45.809606
4.763866	 45.809591
4.763870	 45.809577
4.763870	 45.809577
4.763870	 45.809577
4.763870	 45.809577
4.763870	 45.809577
4.763871	 45.809576
4.763873	 45.809575
4.763874	 45.809574
4.763875	 45.809573
4.763875	 45.809573
4.763875	 45.809573
4.763875	 45.809573
4.763875	 45.809573
4.763876	 45.809573
4.763878	 45.809573
4.763879	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763880	 45.809573
4.763881	 45.809573
4.763881	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809573
4.763882	 45.809572
4.763883	 45.809568
4.763884	 45.809564
4.763884	 45.809559
4.763885	 45.809555
4.763885	 45.809555
4.763885	 45.809555
4.763885	 45.809555
4.763885	 45.809554
4.763887	 45.809544
4.763889	 45.809534
4.763891	 45.809524
4.763893	 45.809515
4.763893	 45.809515
4.763893	 45.809515
